location_name,node_id,node_name,lat,lon,connected_to,distance_km
rs mitra keluarga 2,b13,bekasi barat - blok m,-6.24088,106.99285,menara astra,19.28
menara astra,1n,tanah abang - blok m,-6.207361,106.8219,terrace 2 pondok indah,7.99
terrace 2 pondok indah,jak.102,blok m - lebak bulus,-6.26311,106.77598,menara astra,7.99
menara astra,1n,tanah abang - blok m,-6.207361,106.8219,grand wijaya dharmawangsa,5.76
grand wijaya dharmawangsa,jak.31,blok m - andara,-6.254752,106.80034,menara astra,5.76
menara astra,1n,tanah abang - blok m,-6.207361,106.8219,karet sudirman d-e-f,0.59
karet sudirman d-e-f,m1,blok m - kota,-6.212352,106.819981,menara astra,0.59
museum kebangkitan,1p,senen - blok m,-6.178915,106.83877,museum kebangkitan,4.23
museum kebangkitan,1p,senen - blok m,-6.178915,106.83877,one park residences,9.23
one park residences,1q,rempoa - blok m,-6.245436,106.78844,museum kebangkitan,9.23
museum kebangkitan,1p,senen - blok m,-6.178915,106.83877,patra kuningan,5.99
patra kuningan,6m,stasiun manggarai - blok m,-6.232675,106.832042,museum kebangkitan,5.99
museum kebangkitan,1p,senen - blok m,-6.178915,106.83877,pengadilan negeri jaksel 1,11.56
pengadilan negeri jaksel 1,6n,ragunan - blok m via kemang,-6.281672,106.81949,museum kebangkitan,11.56
museum kebangkitan,1p,senen - blok m,-6.178915,106.83877,jln. poncol jaya 2,7.05
jln. poncol jaya 2,6u,pasar minggu - blok m,-6.239441,106.81883,museum kebangkitan,7.05
museum kebangkitan,1p,senen - blok m,-6.178915,106.83877,rs harapan bunda,13.98
rs harapan bunda,7b,kampung rambutan - blok m,-6.301945,106.868002,museum kebangkitan,13.98
museum kebangkitan,1p,senen - blok m,-6.178915,106.83877,kalibata city 1,8.69
kalibata city 1,7q,blok m - pgc,-6.255951,106.85404,museum kebangkitan,8.69
museum kebangkitan,1p,senen - blok m,-6.178915,106.83877,permata eksekutif 2,9.15
permata eksekutif 2,8d,joglo - blok m,-6.216798,106.76524,museum kebangkitan,9.15
museum kebangkitan,1p,senen - blok m,-6.178915,106.83877,jln. h. gari,12.23
jln. h. gari,8e,bintaro - blok m,-6.256091,106.75965,museum kebangkitan,12.23
museum kebangkitan,1p,senen - blok m,-6.178915,106.83877,transvision,6.86
transvision,9h,universitas indonesia - blok m,-6.240036,106.82842,museum kebangkitan,6.86
museum kebangkitan,1p,senen - blok m,-6.178915,106.83877,rs mitra keluarga 2,18.38
rs mitra keluarga 2,b13,bekasi barat - blok m,-6.24088,106.99285,museum kebangkitan,18.38
museum kebangkitan,1p,senen - blok m,-6.178915,106.83877,terrace 2 pondok indah,11.62
terrace 2 pondok indah,jak.102,blok m - lebak bulus,-6.26311,106.77598,museum kebangkitan,11.62
museum kebangkitan,1p,senen - blok m,-6.178915,106.83877,grand wijaya dharmawangsa,9.4
grand wijaya dharmawangsa,jak.31,blok m - andara,-6.254752,106.80034,museum kebangkitan,9.4
museum kebangkitan,1p,senen - blok m,-6.178915,106.83877,karet sudirman d-e-f,4.24
karet sudirman d-e-f,m1,blok m - kota,-6.212352,106.819981,museum kebangkitan,4.24
one park residences,1q,rempoa - blok m,-6.245436,106.78844,one park residences,2.45
one park residences,1q,rempoa - blok m,-6.245436,106.78844,patra kuningan,5.03
patra kuningan,6m,stasiun manggarai - blok m,-6.232675,106.832042,one park residences,5.03
one park residences,1q,rempoa - blok m,-6.245436,106.78844,pengadilan negeri jaksel 1,5.28
pengadilan negeri jaksel 1,6n,ragunan - blok m via kemang,-6.281672,106.81949,one park residences,5.28
one park residences,1q,rempoa - blok m,-6.245436,106.78844,jln. poncol jaya 2,3.43
jln. poncol jaya 2,6u,pasar minggu - blok m,-6.239441,106.81883,one park residences,3.43
one park residences,1q,rempoa - blok m,-6.245436,106.78844,rs harapan bunda,10.8
rs harapan bunda,7b,kampung rambutan - blok m,-6.301945,106.868002,one park residences,10.8
one park residences,1q,rempoa - blok m,-6.245436,106.78844,kalibata city 1,7.35
kalibata city 1,7q,blok m - pgc,-6.255951,106.85404,one park residences,7.35
one park residences,1q,rempoa - blok m,-6.245436,106.78844,permata eksekutif 2,4.08
permata eksekutif 2,8d,joglo - blok m,-6.216798,106.76524,one park residences,4.08
one park residences,1q,rempoa - blok m,-6.245436,106.78844,jln. h. gari,3.4
jln. h. gari,8e,bintaro - blok m,-6.256091,106.75965,one park residences,3.4
one park residences,1q,rempoa - blok m,-6.245436,106.78844,transvision,4.46
transvision,9h,universitas indonesia - blok m,-6.240036,106.82842,one park residences,4.46
one park residences,1q,rempoa - blok m,-6.245436,106.78844,rs mitra keluarga 2,22.63
rs mitra keluarga 2,b13,bekasi barat - blok m,-6.24088,106.99285,one park residences,22.63
one park residences,1q,rempoa - blok m,-6.245436,106.78844,terrace 2 pondok indah,2.39
terrace 2 pondok indah,jak.102,blok m - lebak bulus,-6.26311,106.77598,one park residences,2.39
one park residences,1q,rempoa - blok m,-6.245436,106.78844,grand wijaya dharmawangsa,1.67
grand wijaya dharmawangsa,jak.31,blok m - andara,-6.254752,106.80034,one park residences,1.67
one park residences,1q,rempoa - blok m,-6.245436,106.78844,karet sudirman d-e-f,5.06
karet sudirman d-e-f,m1,blok m - kota,-6.212352,106.819981,one park residences,5.06
patra kuningan,6m,stasiun manggarai - blok m,-6.232675,106.832042,patra kuningan,0.01
patra kuningan,6m,stasiun manggarai - blok m,-6.232675,106.832042,pengadilan negeri jaksel 1,5.59
pengadilan negeri jaksel 1,6n,ragunan - blok m via kemang,-6.281672,106.81949,patra kuningan,5.59
patra kuningan,6m,stasiun manggarai - blok m,-6.232675,106.832042,jln. poncol jaya 2,1.64
jln. poncol jaya 2,6u,pasar minggu - blok m,-6.239441,106.81883,patra kuningan,1.64
patra kuningan,6m,stasiun manggarai - blok m,-6.232675,106.832042,rs harapan bunda,8.63
rs harapan bunda,7b,kampung rambutan - blok m,-6.301945,106.868002,patra kuningan,8.63
patra kuningan,6m,stasiun manggarai - blok m,-6.232675,106.832042,kalibata city 1,3.54
kalibata city 1,7q,blok m - pgc,-6.255951,106.85404,patra kuningan,3.54
patra kuningan,6m,stasiun manggarai - blok m,-6.232675,106.832042,permata eksekutif 2,7.6
permata eksekutif 2,8d,joglo - blok m,-6.216798,106.76524,patra kuningan,7.6
patra kuningan,6m,stasiun manggarai - blok m,-6.232675,106.832042,jln. h. gari,8.42
jln. h. gari,8e,bintaro - blok m,-6.256091,106.75965,patra kuningan,8.42
patra kuningan,6m,stasiun manggarai - blok m,-6.232675,106.832042,transvision,0.91
transvision,9h,universitas indonesia - blok m,-6.240036,106.82842,patra kuningan,0.91
